Year,Gross
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1991–1992),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(1991– ),0
(2012– ),422
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(2011–2014),1125
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(2009–2019),98
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2004),10
(1999–2004),11
(2009–2019),104
(2012– ),409
(1998–2000),22
(1997–1998),0
(1998–2000),18
(1998–2000),17
(1998–2000),14
(1998–2000),13
(2007–2017),351
(1986– ),0
(1986– ),0
(2011–2014),1487
(2009–2019),94
(1997–2023),83
(1997–2023),71
(1997–2023),87
(1997–2023),79
(1997–2023),92
(2012– ),392
(2007–2017),480
(2007–2017),589
(2007–2017),719
(2007–2017),644
(2007–2017),689
(1999– ),1665
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2000–2001),0
(2011–2014),1238
(1999– ),1659
(1999– ),2624
(1999– ),479
(2013–2023),5936
(1993–1996),153
(1988),0
(1988),0
(2013– ),84
(2013– ),83
(2013– ),81
(2013– ),82
(2013– ),84
(2013– ),80
(2013– ),79
(2013– ),81
(2013– ),79
(2013– ),71
(2013– ),67
(2013– ),69
(1993–2008),40
(2013– ),64
(2013– ),66
(2013– ),64
(2013– ),69
(2013– ),65
(2013– ),72
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(1988),0
(2012– ),395
(2009–2019),95
(1993–1996),142
(1993–1996),137
(1993–1996),141
(2011–2014),2210
(1988),0
(1993–1996),160
(1993–1996),134
(1993–1996),108
(1993–1996),104
(2013–2023),7848
(2009–2019),86
(1993–1996),119
(1993–1996),101
(1993–1996),118
(1993–1996),120
(2013),56
(2012– ),440
(2012– ),399
(2013),47
(1997–2023),71
(1997–2023),73
(1997–2023),69
(2012– ),402
(2014–2015),260
(1999– ),464
(2007–2017),591
(2007–2017),507
(2007–2017),659
(2007–2017),450
(1993–1996),93
(1993–1996),88
(1993–1996),132
(1993–1996),181
(1993–1996),89
(1999– ),591
(1999– ),618
(1999– ),593
(1999– ),583
(1996– ),35
(1996– ),32
(1996– ),31
(1996– ),41
(1996– ),44
(1996– ),43
(1996– ),33
(1996– ),35
(1999–2004),15
(1999–2004),13
(1999–2004),13
(2012– ),912
(2012– ),900
(2012– ),673
(2012– ),656
(1999–2004),14
(2012– ),899
(2012– ),944
(2012– ),696
(1997–2023),72
(2012– ),806
(1999–2004),14
(1999–2004),12
(1999–2004),10
(1999–2004),10
(1999–2004),10
(2009–2019),108
(2009–2019),103
(2009–2019),90
(2009–2019),84
(2009–2019),82
(2013– ),35
(2014–2015),240
(2014–2015),270
(2009–2019),102
(2009–2019),102
(2009–2019),102
(2009–2019),107
(2009–2019),98
(2009–2019),97
(2009–2019),104
(2014–2015),799
(2009–2019),97
(2009–2019),110
(2009–2019),101
(2009–2019),108
(2009–2019),104
(2009–2019),103
(2009–2019),135
(1999–2004),10
(1999–2004),10
(2009–2019),109
(1999–2004),10
(2009–2019),119
(1999–2004),10
(1999–2004),11
(1999–2004),10
(1999–2004),10
(1999–2004),12
(1999–2004),10
(1999–2004),11
(1999–2004),11
(2009–2019),117
(1999–2004),11
(2009–2019),100
(2009–2019),94
(2009–2019),105
(2009–2019),90
(2009–2019),90
(2009–2019),89
(2009–2019),88
(2009–2019),87
(2009–2019),86
(2009–2019),86
(2009–2019),88
(2009–2019),88
(2009–2019),81
(2009–2019),84
(2009–2019),85
(2009–2019),91
(2012– ),383
(2012– ),376
(2014–2015),733
(2009–2019),98
(2009–2019),90
(2009–2019),94
(2009–2019),96
(2009–2019),148
(2009–2019),111
(2009–2019),97
(2009–2019),106
(2009–2019),101
(2009–2019),103
(2014–2015),754
(2009–2019),97
(2009–2019),101
(2009–2019),113
(2009–2019),92
(2009–2019),90
(2009–2019),105
(2012– ),386
(2009–2019),93
(2009–2019),91
(2009–2019),82
(2009–2019),101
(1997–2023),77
(1997–2023),124
(2009–2019),85
(2009–2019),102
(2009–2019),97
(2009–2019),105
(2009–2019),93
(2009–2019),84
(2009–2019),95
(2009–2019),84
(2014–2015),865
(2007–2017),390
(2014–2015),219
(2014–2015),224
(2007–2017),470
(2007–2017),277
(1986– ),0
(1986– ),0
(1986– ),0
(1986– ),0
(1986– ),0
(1986– ),0
(1999– ),655
(1999– ),582
(1999– ),602
(1999– ),580
(2009–2019),86
(2009–2019),81
(2009–2019),80
(2009–2019),84
(2009–2019),81
(1986–1989),336
(1996– ),43
(1996– ),46
(1996– ),34
(1996– ),27
(2014–2015),738
(2011–2017),9
(2011–2017),8
(2011–2017),8
(2011–2017),8
(2011–2017),8
(2011–2017),8
(2011–2017),8
(2011–2017),8
(2011–2017),8
(2011–2017),8
(2011–2017),8
(2011–2017),8
(2014),72
(2014),66
(2014),62
(2014),61
(2014),63
(2014),59
(2014),61
(2014),58
(2009–2019),82
(2009–2019),83
(2009–2019),89
(2009–2019),86
(2009–2019),87
(2009–2019),91
(2009–2019),90
(1997–2023),70
(1997– ),0
(2014–2015),732
(2014),61
(2014),81
(2014),71
(2014–2015),217
(2014–2015),690
(1997–2023),74
(1997–2023),73
(2012– ),366
(2012– ),369
(2013–2023),16568
(2014–2015),762
(2014–2015),684
(2014–2015),977
(2007–2017),239
(2007–2017),242
(2009–2019),81
(2009–2019),82
(2009–2019),81
(1986–1989),334
(1986–1989),336
(2007–2017),835
(2014–2015),225
(2014–2015),217
(2014–2015),211
(2007–2017),737
(2007–2017),1037
(1999– ),658
(2011–2013),31
(2002–2008),105
(2002–2008),107
(2002–2008),107
(2002–2008),107
(2002–2008),107
(2002–2008),107
(2002–2008),107
(2002–2008),106
(2002–2008),107
(2002–2008),111
(2009–2019),82
(2009–2019),84
(2012– ),373
(2012– ),404
(2012– ),386
(1999– ),917
(1999– ),977
(2002–2008),107
(1997–2023),76
(2014–2015),698
(2009–2019),79
(2002–2008),107
(2013),39
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(1998–2003),0
(2002–2008),109
(2002–2008),105
(2002–2008),104
(2002–2008),102
(2002–2008),103
(2002–2008),103
(2014–2015),655
(2014–2015),656
(2014–2015),645
(2014–2015),649
(2013–2014),20
(2013–2014),17
(2013–2014),15
(2013–2014),13
(2013–2014),13
(2013–2014),15
(2013–2014),15
(2013–2014),15
(2013–2014),18
(1999– ),1982
(2010–2011),24
(2007–2017),240
(2007–2017),231
(2007–2017),230
(2012– ),573
(2002),0
(2002),0
(2002),0
(2002),0
(2002),0
(2002),0
(2002),0
(2014–2015),236
(2014–2015),214
(2014–2015),241
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(2015),625
(2015),526
(2015),555
(2015),502
(2013–2016),480
(2009–2019),84
(2009–2019),80
(2009–2019),79
(2009–2019),85
(2009–2019),90
(2009–2019),81
(2009–2019),82
(1996– ),46
(2002),0
(2002),0
(2007–2017),224
(1998–1999),0
(2002),0
(2002),0
(1996– ),47
(1996– ),32
(1996– ),31
(1999– ),2032
(1999– ),953
(1999– ),973
(2013– ),24
(2013– ),20
(2013– ),19
(2013– ),20
(2013– ),19
(2013– ),26
(2013– ),20
(2013– ),19
(2013– ),20
(2013– ),24
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1993–1994),0
(1997–2023),73
(1997–2023),68
(2014–2015),655
(2014–2015),1000
(2014–2015),641
(2015),470
(2015),476
(2015),436
(2015),449
(2009– ),0
(2007–2017),226
(2007–2017),226
(1997–2023),75
(2009– ),0
(1997–2023),82
(2014–2015),706
(1999– ),673
(1989–2020),20
(1989–2020),17
(1989–2020),18
(1989–2020),15
(1989–2020),16
(1989–2020),15
(1989–2020),15
(1989–2020),16
(1989–2020),14
(1989–2020),14
(1989–2020),14
(1989–2020),14
(1989–2020),14
(1989–2020),15
(1989–2020),12
(1989–2020),12
(1989–2020),12
(1989–2020),13
(1989–2020),12
(1989–2020),13
(1989–2020),12
(1989–2020),12
(1989–2020),12
(1989–2020),13
(1989–2020),12
(1989–2020),12
(1989–2020),12
(1989–2020),12
(1989–2020),11
(1989–2020),12
(1989–2020),11
(1989–2020),11
(1989–2020),12
(1989–2020),12
(1989–2020),12
(1989–2020),9
(1989–2020),10
(1989–2020),9
(1989–2020),9
(1989–2020),9
(1989–2020),10
(1989–2020),9
(1989–2020),10
(1989–2020),10
(1989–2020),11
(1989–2020),11
(1989–2020),10
(1989–2020),10
(1989–2020),10
(1989–2020),9
(1989–2020),9
(1989–2020),9
(2009– ),0
(2013),39
(2013),37
(2013),40
(2013),40
(2013),38
(2013),42
(2013),40
(2013),34
(2009– ),0
(2000–2001),8
(2000–2001),8
(2000–2001),8
(1999– ),483
(1996– ),29
(1996– ),35
(1996– ),31
(2012– ),696
(2012– ),859
(2012– ),946
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(2000),10
(2000),11
(2000),10
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(1999),0
(2012– ),961
(2012– ),852
(1999– ),664
(2009–2020),165
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),7
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),6
(1981–1982),7
(2007–2017),231
(2007–2017),231
(2011),22
(2007–2017),238
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),8
(1981–1982),7
(1999),0
(2004–2005),0
(2004–2005),0
(2004–2005),0
(2004–2005),0
(2004–2005),0
(2004–2005),0
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),8
(1981–1982),8
(1981–1982),7
(1981–1982),8
(1981–1982),8
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),7
(1981–1982),6
(1981–1982),7
(1981–1982),7
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(1997–1999),6
(2000),0
(1997–1999),0
(2012– ),671
(2004–2005),0
(2004–2005),0
(2004–2005),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(2000),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(1997–1999),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2000),0
(2014–2020),732
(2014–2020),593
(2014–2020),614
(2014–2020),543
(2014–2020),525
(2014–2020),521
(1998–1999),0
(1998– ),0
(1998– ),0
(1998– ),0
(2014–2020),618
(2014–2020),540
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1998– ),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1996– ),40
(1998– ),0
(1998– ),0
(1996– ),40
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(1998–1999),0
(2014–2020),579
(2014–2020),497
(2014–2020),489
(2014–2020),483
(2014–2020),512
(2014–2020),650
(2014–2020),593
(2014–2020),478
(2014–2020),517
(2014–2020),483
(2014–2020),504
(2014–2020),551
(2014–2020),684
(2014–2020),493
(2015),620
(2015),435
(2015),526
(2015),623
(1993–1994),0
(1993–1994),0
(1996–1997),9
(1996–1997),6
(1996–1997),5
(2008–2009),10
(2008–2009),10
(2008–2009),10
(2008–2009),10
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),8
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),9
(2008–2009),10
(2008–2009),9
(2008–2009),11
(1996–1997),5
(1996–1997),0
(1996–1997),0
(1996–1997),0
(2014–2020),526
(2014–2020),564
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996–1997),0
(1996– ),68
(1996– ),70
(2003–2004),0
(2003–2004),0
(1995–1996),7
(1995–1996),7
(1995–1996),7
(1995–1996),7
(1995–1996),7
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(1995–1996),0
(2012– ),682
(2009–2019),77
(2009–2019),75
(2009–2019),76
(2009–2019),87
(1997–2023),76
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(1984–1985),0
(2009– ),0
(2009– ),0
(2014),29
(2014),24
(2014),23
(2014),23
(2014),22
(2014),22
(2014),23
(2014),22
(2014),22
(2014),23
(2014),19
(2014),20
(2014–2015),666
(2014–2015),726
(2014–2015),818
(2014–2015),700
(2015–2017),93
(2012– ),681
(2009– ),0
(2011–2016),27
(2011–2016),28
(2011–2016),29
(2011–2016),27
(2011–2016),28
(1997–2023),85
(2011–2016),29
(2011–2016),28
(2011–2016),36
(2012),18
(2012),17
(2012),15
(2012),14
(2012),14
(2012),14
(2012),14
(2012),15
(2012),24
(2012),21
(2009– ),0
(2009– ),0
(2012),24
(2012),15
(2010),60
(2010),70
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(2010),60
(2010),58
(2010),73
(2010),62
(2010),60
(2010),62
(2010),58
(2010),63
(2010),62
(2010),75
(2010),68
(2010),75
(2010),70
(2010),68
(2010),77
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(2012– ),1325
(2013– ),31
(2013– ),33
(2013– ),32
(2013– ),31
(2013– ),31
(2013– ),31
(2013– ),32
(2013– ),30
(2013– ),33
(2013– ),32
(2013– ),36
(2009– ),0
(2009– ),0
(2010– ),13
(2010– ),12
(2010– ),12
(2010– ),12
(2010– ),12
(2010– ),12
(2010– ),12
(2010– ),12
(2010– ),12
(2010– ),14
(2009– ),0
(1999– ),609
(1999– ),672
(2015–2016),45
(2015–2016),43
(2015–2016),42
(2015–2016),44
(2015–2016),44
(2015–2016),42
(2015–2016),45
(2015–2016),50
(2007–2017),220
(2007–2017),218
(1997–2023),75
(2007–2017),220
(1997–2023),75
(2015–2016),46
(1997–2023),78
(2007–2017),222
(2015–2016),51
(2015–2016),47
(2007–2017),226
(2015–2016),43
(2012– ),1871
(2009– ),0
(2009–2019),89
(2014–2015),41
(2014–2015),40
(2014–2015),37
(2014–2015),37
(2014–2015),43
(2014–2015),40
(2014–2015),39
(2014–2015),37
(2014–2015),37
(2014–2015),40
(2014–2015),39
(2014–2015),38
(2014–2015),40
(2014–2015),38
(2014–2015),38
(2014–2015),38
(2014–2015),51
(2014–2015),46
(2010– ),12
(2010– ),12
(2010– ),12
(2012– ),667
(1999– ),645
(1999– ),1026
(1988–1995),8
(1997–2023),115
(1997–2023),125
(2015–2019),4671
(2009– ),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997–2023),80
(2014–2015),49
(2014–2015),42
(2014–2015),41
(2014–2015),53
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(1997),0
(2012– ),674
(2014– ),15
(2009– ),0
(1999– ),613
(2015–2017),73
(2015–2017),75
(2015–2017),71
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(2014–2015),240
(2012– ),812
(2007–2017),219
(1999–2000),0
(2007–2017),221
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(1999–2000),0
(2009–2019),76
(2009–2019),79
(2009–2019),78
(2009–2019),81
(1996– ),37
(1996– ),32
(1996– ),34
(1996– ),30
(2014–2015),218
(2012– ),657
(1990–1992),8
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(2007–2017),218
(1990–1992),7
(1990–1992),6
(1990–1992),0
(1990–1992),8
(1990–1992),0
(1990–1992),7
(1990–1992),0
(1990–1992),6
(1990–1992),7
(2007–2017),219
(1990–1992),6
(1990–1992),6
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),0
(1990–1992),6
(1990–1992),0
(1990–1992),6
(1990–1992),7
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(1995),0
(2012– ),936
(2015–2017),68
(2015–2017),66
(2015–2017),86
(2015–2017),62
(2014–2015),331
(1999– ),649
(1999– ),486
(1998–2001),31
(1994–1997),13
(1994–1997),6
(1994–1997),8
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),0
(1994–1997),7
(1994–1997),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2005–2015),0
(2012– ),821
(2014–2015),60
(1997–2023),89
(2014–2015),50
(2014–2015),46
(2014–2015),209
(2012– ),932
(2011–2013),42
(1997–2023),76
(1997–2023),73
(2014–2015),48
(2014–2015),46
(2014–2015),46
(2014–2015),48
(1997–2023),73
(2012–2018),288
(1997–2023),71
(2014–2015),46
(1997–1998),0
(1997–1998),0
(1997–1998),0
(1997–1998),0
(1997–1998),0
(1997–1998),0
(1997–1998),0
(1997–1998),0
(1997–1998),0
(1997–1998),0
(1997–1998),0
(1997–1998),0
(1997–1998),0
(2009–2019),78
(2009–2019),83
(2009–2019),87
(2012– ),1289
(1999– ),477
(1999– ),937
(1999– ),481
(2012–2018),268
(2015),99
(2012– ),1847
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
(1989–1990),0
