Year,Gross
(2023– ),637
(2000),6709
(2020– ),2819
(2023– ),0
(2019),4358
(I) (2004),10296
(2021– ),2005
(2001),22166
(2018),2617
(2000),19854
(1986),3072
(2004),14778
(2007),2740
(1993),11512
(2023),367
(1984–1988),3426
(2008),32633
(1978),4706
(2023– ),86
(2007–2011),3535
(2015–2023),274
(2016 Video),187
(2015–2017),2444
(1985–1986),4431
(2015–2017),2008
(1983–1995),7133
(2012),11479
(2004),18361
(2008–2011),2351
(2014– ),3865
(2011),15183
(2023– ),499
(1989),5430
(2019),5778
(2017),15430
(2017),2031
(2009),467
(2023),918
(2011–2013),2589
(2009),2968
(1989),3506
(2023– ),134
(2022– ),3804
(2007–2011),3222
(2018– ),5336
(2016– ),3686
(2020),1411
(2019–2021),6275
(2002 Video),10228
(1970),784
(2014– ),2355
(1995–1996),4743
(2013),2204
(2021),1807
(2014),16883
(1997),15145
(2023– ),0
(2023– ),199
(2022),1279
(1990–1992),4469
(2016),4280
(2002 Video),7584
(2019– ),930
(2005),2567
(2021– ),4325
(2012),17360
(2023– ),91
(2020– ),3081
(2018),11839
(2020– ),586
(2016),3355
(2006–2009),8881
(2020–2023),1216
(1998–2001),2669
(2016–2017),994
(2014–2015),572
(1985),3902
(2018),21515
(2012–2014),4593
(1991),3011
(I) (2017),2254
(2019),3530
(2021– ),3000
(2020– ),1177
(1998–2000),5392
(2022),4663
(1974 TV Movie),10805
(2009– ),3354
(2000),7756
(2017),7263
(2020–2023),547
(2019– ),2796
(2007–2009),2493
(2015),23369
(2017–2023),2615
(2008),89
(2010),4690
(2023),249
(2012),4525
(2017 Video),9366
(2013– ),2694
(2020–2021),691
(2019),6059
(2018– ),1356
(2017),3787
(1988 Video),3452
(2020),1723
(2012),1930
(2008),530
(2023– ),73
(2011–2012),5460
(2021– ),1861
(2011–2014),547
(2013),2821
(1992–1993),9103
(2007),4548
(1993),12797
(2014–2016),3914
(2006),10960
(2008–2010),1533
(2004–2008),5050
(2010),1505
(2001–2005),6291
(2015),2860
(2015),17138
(2020– ),1146
(2008–2017),2336
(2018–2022),808
(2012–2013),3491
(2010),408
(2010–2011),3746
(1970 TV Movie),16365
(2022),708
(2010),6785
(2008–2010),2642
(1969),785
(2002–2006),5775
(1992–2005),2189
(2018),2532
(1981–1986),1187
(2010),2258
(2019),9234
(2022– ),1436
(2023– ),0
(2017),4946
(2021– ),3107
(2008),5609
(2014),4452
(2017),8723
(2003),15255
(2015–2017),1479
(2007),2571
(2022– ),1059
(2021– ),707
(2016–2017),6800
(2021– ),1119
(2022),1447
(2020),6793
(2017–2022),4884
(2020),3007
(2022– ),1044
(2011),1720
(2014–2015),2613
(2021– ),1279
(2007–2009),2584
(2019),3266
(2023),74
(2012–2013),1040
(2016 TV Movie),1433
(2005),4207
(2004–2005),986
(2006–2008),4440
(2022),668
(2019),4909
(2014–2015),4545
(2020),14610
(2004),7604
(2022),1398
(2023),667
(2020),4938
(2022– ),373
(2015–2016),3888
(2022),321
(2021),805
(2018– ),3628
(2014–2015),1096
(2016),1441
(2023),0
(2023– ),75
(2010–2011),2783
(2019– ),1139
(2015),2029
(2022– ),1402
(2020),2110
(2018),214
(1997),1919
(2001–2005),6618
(2016),3013
(2010),2786
(2007 Video),3907
(2023– ),324
(2010),15542
(2007),5450
(1978–1980),2150
(2006–2014),2309
(1987–1990),1753
(1977–1980),1887
(2000 Video),5352
(2022– ),2569
(2005),11885
(2013– ),4574
(2001),2669
(2022– ),898
(2017–2018),472
(1986),3184
(1988–1989),1874
(2015 Video),28
(2017),5906
(2021– ),2199
(2016– ),879
(2003–2004),8071
(2010),7731
(2017),9029
(2020– ),381
(1972–1974),1457
(2003),2414
(2022),2305
(2005),4871
(2008–2009),4809
(2018),2219
(1999),15233
(2017– ),1892
(2020– ),2088
(2018–2019),739
(2017),315
(1995),11625
(1967),3432
(2021– ),1150
(1985–1986),1435
(2009–2010),2006
(2022– ),472
(2019– ),1130
(2006),1544
(2017),3387
(2008),14973
(1981–1982),2305
(2022– ),332
(1989),1167
(2021– ),960
(I) (2021– ),1376
(2021),1804
(2017),8709
(2016–2018),3148
(2018),1726
(2003–2004),5211
(2003),2987
(2023– ),125
,0
(2018),834
(2023– ),676
(2001),6070
(2015–2016),2348
(1996–2013),1782
(2012),1398
(2018),61
(2008–2019),2195
(2004),4327
(2017),2572
(2021– ),1770
(2021),1928
(2013),9183
(2021),3173
(2023– ),457
(1989–1994),1280
(2020– ),2185
(1979–2005),4735
(2020),6669
(2023– ),0
(2009 TV Movie),9257
(2021),1758
(2019–2022),2135
(1990–1991),2751
(2000),13051
(2016),3171
(2013–2015),1634
(1991),7869
(2020),3342
(2021),1881
(2003),8408
(2009),2813
(2019),3228
(2010–2011),3513
(2023– ),0
(1971),6112
(1987–1991),1500
(2013–2014),2768
(2022),289
(I) (2020),1828
(2012–2013),1091
(1984),3327
(2017),368
(2017),13568
(2016),3448
(2021),2734
(2020),1754
(2001),1061
(2014– ),3084
(2023– ),610
(2015),2615
(2018– ),1439
(2013–2022),1780
(1999–2000),6727
(1995),3070
(2018–2019),1545
(2021– ),1571
(2018),718
(1970–1971),742
(1996),4391
(2023– ),191
(2023– ),614
(2017–2020),455
(2017 TV Movie),302
,0
(2021),1566
(2014),1404
(2022),1589
(2021– ),1979
(1982–1983),4161
(1998–2001),4021
(2003),1771
(2019),5907
(2002),1611
